Cold Spell Duration Index - (Days), Year, Model, Statistics, ISO3
-0.3279, 2040-2059, mpi_esm_lr, Jan Anomaly, NPL
-0.2472, 2040-2059, mpi_esm_lr, Feb Anomaly, NPL
-0.0242, 2040-2059, mpi_esm_lr, Mar Anomaly, NPL
-0.144, 2040-2059, mpi_esm_lr, Apr Anomaly, NPL
-0.1465, 2040-2059, mpi_esm_lr, May Anomaly, NPL
-0.1467, 2040-2059, mpi_esm_lr, Jun Anomaly, NPL
-0.0445, 2040-2059, mpi_esm_lr, Jul Anomaly, NPL
-0.0396, 2040-2059, mpi_esm_lr, Aug Anomaly, NPL
-0.4117, 2040-2059, mpi_esm_lr, Sep Anomaly, NPL
-0.0745, 2040-2059, mpi_esm_lr, Oct Anomaly, NPL
-0.1461, 2040-2059, mpi_esm_lr, Nov Anomaly, NPL
-0.1939, 2040-2059, mpi_esm_lr, Dec Anomaly, NPL
-0.6611, 2040-2059, mpi_esm_mr, Jan Anomaly, NPL
-0.0715, 2040-2059, mpi_esm_mr, Feb Anomaly, NPL
-0.2312, 2040-2059, mpi_esm_mr, Mar Anomaly, NPL
-0.0506, 2040-2059, mpi_esm_mr, Apr Anomaly, NPL
-0.042, 2040-2059, mpi_esm_mr, May Anomaly, NPL
-0.1354, 2040-2059, mpi_esm_mr, Jun Anomaly, NPL
-0.0779, 2040-2059, mpi_esm_mr, Jul Anomaly, NPL
-0.0811, 2040-2059, mpi_esm_mr, Aug Anomaly, NPL
0.0211, 2040-2059, mpi_esm_mr, Sep Anomaly, NPL
-0.3855, 2040-2059, mpi_esm_mr, Oct Anomaly, NPL
-0.1276, 2040-2059, mpi_esm_mr, Nov Anomaly, NPL
-0.1812, 2040-2059, mpi_esm_mr, Dec Anomaly, NPL
-0.1741, 2040-2059, mri_cgcm3, Jan Anomaly, NPL
-0.1312, 2040-2059, mri_cgcm3, Feb Anomaly, NPL
-0.1604, 2040-2059, mri_cgcm3, Mar Anomaly, NPL
-0.1992, 2040-2059, mri_cgcm3, Apr Anomaly, NPL
-0.2171, 2040-2059, mri_cgcm3, May Anomaly, NPL
-0.155, 2040-2059, mri_cgcm3, Jun Anomaly, NPL
-0.0538, 2040-2059, mri_cgcm3, Jul Anomaly, NPL
-0.1613, 2040-2059, mri_cgcm3, Aug Anomaly, NPL
-0.4591, 2040-2059, mri_cgcm3, Sep Anomaly, NPL
-0.0249, 2040-2059, mri_cgcm3, Oct Anomaly, NPL
-0.2255, 2040-2059, mri_cgcm3, Nov Anomaly, NPL
-0.5514, 2040-2059, mri_cgcm3, Dec Anomaly, NPL
-0.1726, 2040-2059, noresm1_m, Jan Anomaly, NPL
0.0763, 2040-2059, noresm1_m, Feb Anomaly, NPL
-0.261, 2040-2059, noresm1_m, Mar Anomaly, NPL
0.1056, 2040-2059, noresm1_m, Apr Anomaly, NPL
-0.3389, 2040-2059, noresm1_m, May Anomaly, NPL
-0.0831, 2040-2059, noresm1_m, Jun Anomaly, NPL
-0.1256, 2040-2059, noresm1_m, Jul Anomaly, NPL
-0.0951, 2040-2059, noresm1_m, Aug Anomaly, NPL
-0.1937, 2040-2059, noresm1_m, Sep Anomaly, NPL
-0.3368, 2040-2059, noresm1_m, Oct Anomaly, NPL
-0.1555, 2040-2059, noresm1_m, Nov Anomaly, NPL
-0.0802, 2040-2059, noresm1_m, Dec Anomaly, NPL
-0.2367, 2040-2059, Ensemble (10th Percentile), Jan Anomaly, NPL
-0.1739, 2040-2059, Ensemble (10th Percentile), Feb Anomaly, NPL
-0.1135, 2040-2059, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.1187, 2040-2059, Ensemble (10th Percentile), Apr Anomaly, NPL
-0.1701, 2040-2059, Ensemble (10th Percentile), May Anomaly, NPL
-0.1826, 2040-2059, Ensemble (10th Percentile), Jun Anomaly, NPL
-0.1282, 2040-2059, Ensemble (10th Percentile), Jul Anomaly, NPL
-0.1053, 2040-2059, Ensemble (10th Percentile), Aug Anomaly, NPL
-0.2501, 2040-2059, Ensemble (10th Percentile), Sep Anomaly, NPL
-0.306, 2040-2059, Ensemble (10th Percentile), Oct Anomaly, NPL
-0.2013, 2040-2059, Ensemble (10th Percentile), Nov Anomaly, NPL
-0.2788, 2040-2059, Ensemble (10th Percentile), Dec Anomaly, NPL
-0.233, 2040-2059, Ensemble (50th Percentile), Jan Anomaly, NPL
-0.1605, 2040-2059, Ensemble (50th Percentile), Feb Anomaly, NPL
-0.1125, 2040-2059, Ensemble (50th Percentile), Mar Anomaly, NPL
-0.1147, 2040-2059, Ensemble (50th Percentile), Apr Anomaly, NPL
-0.1701, 2040-2059, Ensemble (50th Percentile), May Anomaly, NPL
-0.1826, 2040-2059, Ensemble (50th Percentile), Jun Anomaly, NPL
-0.1282, 2040-2059, Ensemble (50th Percentile), Jul Anomaly, NPL
-0.1053, 2040-2059, Ensemble (50th Percentile), Aug Anomaly, NPL
-0.2501, 2040-2059, Ensemble (50th Percentile), Sep Anomaly, NPL
-0.306, 2040-2059, Ensemble (50th Percentile), Oct Anomaly, NPL
-0.2009, 2040-2059, Ensemble (50th Percentile), Nov Anomaly, NPL
-0.2705, 2040-2059, Ensemble (50th Percentile), Dec Anomaly, NPL
0.00618, 2040-2059, Ensemble (90th Percentile), Jan Anomaly, NPL
0.08101, 2040-2059, Ensemble (90th Percentile), Feb Anomaly, NPL
0.1649, 2040-2059, Ensemble (90th Percentile), Mar Anomaly, NPL
0.13222, 2040-2059, Ensemble (90th Percentile), Apr Anomaly, NPL
0.05949, 2040-2059, Ensemble (90th Percentile), May Anomaly, NPL
-0.0398, 2040-2059, Ensemble (90th Percentile), Jun Anomaly, NPL
-0.0578, 2040-2059, Ensemble (90th Percentile), Jul Anomaly, NPL
-0.0465, 2040-2059, Ensemble (90th Percentile), Aug Anomaly, NPL
-0.0722, 2040-2059, Ensemble (90th Percentile), Sep Anomaly, NPL
-0.0703, 2040-2059, Ensemble (90th Percentile), Oct Anomaly, NPL
0.02944, 2040-2059, Ensemble (90th Percentile), Nov Anomaly, NPL
0.08343, 2040-2059, Ensemble (90th Percentile), Dec Anomaly, NPL
-1.4781, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
-3.8187, 2040-2059, bnu_esm, Annual Anomaly, NPL
-1.3669, 2040-2059, canesm2, Annual Anomaly, NPL
-1.9668, 2040-2059, ccsm4, Annual Anomaly, NPL
-2.2334, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-2.1897, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
-4.2335, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-1.6909, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
-0.8292, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-2.0379, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
-2.5028, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-1.7024, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-3.7751, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
-1.8163, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-2.1252, 2040-2059, miroc_esm, Annual Anomaly, NPL
-1.9496, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-2.0236, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
-2.5139, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
-1.661, 2040-2059, noresm1_m, Annual Anomaly, NPL
-2.7132, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
-2.2746, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
-1.3326, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
