Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
2.012201, 2040-2059, miroc_esm, Oct Anomaly, Nepal, NPL
2.596466, 2040-2059, miroc_esm, Nov Anomaly, Nepal, NPL
2.661488, 2040-2059, miroc_esm, Dec Anomaly, Nepal, NPL
4.7246027, 2040-2059, miroc_esm_chem, Jan Anomaly, Nepal, NPL
4.075799, 2040-2059, miroc_esm_chem, Feb Anomaly, Nepal, NPL
4.1844025, 2040-2059, miroc_esm_chem, Mar Anomaly, Nepal, NPL
4.8606367, 2040-2059, miroc_esm_chem, Apr Anomaly, Nepal, NPL
3.9173663, 2040-2059, miroc_esm_chem, May Anomaly, Nepal, NPL
2.2515576, 2040-2059, miroc_esm_chem, Jun Anomaly, Nepal, NPL
0.48435566, 2040-2059, miroc_esm_chem, Jul Anomaly, Nepal, NPL
1.0858744, 2040-2059, miroc_esm_chem, Aug Anomaly, Nepal, NPL
1.6688603, 2040-2059, miroc_esm_chem, Sep Anomaly, Nepal, NPL
1.7881716, 2040-2059, miroc_esm_chem, Oct Anomaly, Nepal, NPL
2.337702, 2040-2059, miroc_esm_chem, Nov Anomaly, Nepal, NPL
3.4144566, 2040-2059, miroc_esm_chem, Dec Anomaly, Nepal, NPL
2.3820715, 2040-2059, miroc5, Jan Anomaly, Nepal, NPL
2.5237675, 2040-2059, miroc5, Feb Anomaly, Nepal, NPL
2.292893, 2040-2059, miroc5, Mar Anomaly, Nepal, NPL
2.6999166, 2040-2059, miroc5, Apr Anomaly, Nepal, NPL
1.7379427, 2040-2059, miroc5, May Anomaly, Nepal, NPL
1.1704463, 2040-2059, miroc5, Jun Anomaly, Nepal, NPL
0.278609, 2040-2059, miroc5, Jul Anomaly, Nepal, NPL
1.3386257, 2040-2059, miroc5, Aug Anomaly, Nepal, NPL
0.94796044, 2040-2059, miroc5, Sep Anomaly, Nepal, NPL
0.9117444, 2040-2059, miroc5, Oct Anomaly, Nepal, NPL
1.5446904, 2040-2059, miroc5, Nov Anomaly, Nepal, NPL
1.4823751, 2040-2059, miroc5, Dec Anomaly, Nepal, NPL
1.1641121, 2040-2059, mri_cgcm3, Jan Anomaly, Nepal, NPL
1.2949004, 2040-2059, mri_cgcm3, Feb Anomaly, Nepal, NPL
2.6162229, 2040-2059, mri_cgcm3, Mar Anomaly, Nepal, NPL
2.402549, 2040-2059, mri_cgcm3, Apr Anomaly, Nepal, NPL
2.2823586, 2040-2059, mri_cgcm3, May Anomaly, Nepal, NPL
1.6777209, 2040-2059, mri_cgcm3, Jun Anomaly, Nepal, NPL
1.416783, 2040-2059, mri_cgcm3, Jul Anomaly, Nepal, NPL
1.2203788, 2040-2059, mri_cgcm3, Aug Anomaly, Nepal, NPL
1.3739586, 2040-2059, mri_cgcm3, Sep Anomaly, Nepal, NPL
0.7671656, 2040-2059, mri_cgcm3, Oct Anomaly, Nepal, NPL
1.7077123, 2040-2059, mri_cgcm3, Nov Anomaly, Nepal, NPL
2.3406496, 2040-2059, mri_cgcm3, Dec Anomaly, Nepal, NPL
2.1767144, 2040-2059, noresm1_m, Jan Anomaly, Nepal, NPL
2.3869407, 2040-2059, noresm1_m, Feb Anomaly, Nepal, NPL
2.6759276, 2040-2059, noresm1_m, Mar Anomaly, Nepal, NPL
2.9675393, 2040-2059, noresm1_m, Apr Anomaly, Nepal, NPL
2.1321447, 2040-2059, noresm1_m, May Anomaly, Nepal, NPL
0.3384988, 2040-2059, noresm1_m, Jun Anomaly, Nepal, NPL
0.8234629, 2040-2059, noresm1_m, Jul Anomaly, Nepal, NPL
1.3831221, 2040-2059, noresm1_m, Aug Anomaly, Nepal, NPL
1.6196969, 2040-2059, noresm1_m, Sep Anomaly, Nepal, NPL
