Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-3.8902, 2060-2079, miroc5, May Anomaly, NPL
-3.8212, 2060-2079, miroc5, Jun Anomaly, NPL
-1.0324, 2060-2079, miroc5, Jul Anomaly, NPL
-0.8249, 2060-2079, miroc5, Aug Anomaly, NPL
-2.1646, 2060-2079, miroc5, Sep Anomaly, NPL
-2.5331, 2060-2079, miroc5, Oct Anomaly, NPL
-0.3399, 2060-2079, miroc5, Nov Anomaly, NPL
-1.638, 2060-2079, miroc5, Dec Anomaly, NPL
-5.5958, 2060-2079, miroc_esm_chem, Jan Anomaly, NPL
-3.1703, 2060-2079, miroc_esm_chem, Feb Anomaly, NPL
-1.8883, 2060-2079, miroc_esm_chem, Mar Anomaly, NPL
-1.3204, 2060-2079, miroc_esm_chem, Apr Anomaly, NPL
-3.1071, 2060-2079, miroc_esm_chem, May Anomaly, NPL
-2.2236, 2060-2079, miroc_esm_chem, Jun Anomaly, NPL
-0.5919, 2060-2079, miroc_esm_chem, Jul Anomaly, NPL
-0.2745, 2060-2079, miroc_esm_chem, Aug Anomaly, NPL
-1.7466, 2060-2079, miroc_esm_chem, Sep Anomaly, NPL
-3.2847, 2060-2079, miroc_esm_chem, Oct Anomaly, NPL
-1.1231, 2060-2079, miroc_esm_chem, Nov Anomaly, NPL
-2.9789, 2060-2079, miroc_esm_chem, Dec Anomaly, NPL
-3.2324, 2060-2079, miroc_esm, Jan Anomaly, NPL
-2.3026, 2060-2079, miroc_esm, Feb Anomaly, NPL
-1.7623, 2060-2079, miroc_esm, Mar Anomaly, NPL
-1.5126, 2060-2079, miroc_esm, Apr Anomaly, NPL
-2.2294, 2060-2079, miroc_esm, May Anomaly, NPL
-2.1246, 2060-2079, miroc_esm, Jun Anomaly, NPL
-0.7624, 2060-2079, miroc_esm, Jul Anomaly, NPL
-0.6441, 2060-2079, miroc_esm, Aug Anomaly, NPL
-2.1408, 2060-2079, miroc_esm, Sep Anomaly, NPL
-3.1951, 2060-2079, miroc_esm, Oct Anomaly, NPL
-0.8964, 2060-2079, miroc_esm, Nov Anomaly, NPL
-2.5466, 2060-2079, miroc_esm, Dec Anomaly, NPL
-1.5225, 2060-2079, mri_cgcm3, Jan Anomaly, NPL
-1.4339, 2060-2079, mri_cgcm3, Feb Anomaly, NPL
-1.0208, 2060-2079, mri_cgcm3, Mar Anomaly, NPL
-0.7956, 2060-2079, mri_cgcm3, Apr Anomaly, NPL
-2.3789, 2060-2079, mri_cgcm3, May Anomaly, NPL
-1.5124, 2060-2079, mri_cgcm3, Jun Anomaly, NPL
-0.1506, 2060-2079, mri_cgcm3, Jul Anomaly, NPL
-0.2306, 2060-2079, mri_cgcm3, Aug Anomaly, NPL
-2.2414, 2060-2079, mri_cgcm3, Sep Anomaly, NPL
-0.6638, 2060-2079, mri_cgcm3, Oct Anomaly, NPL
