FID,id_punto,agno,temp_max_anual,geom
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cda,40343,2003,2.88,POINT (9378667.099333297 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cdb,40343,2004,3.26,POINT (9378667.099333297 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cdc,40343,2005,2.69,POINT (9378667.099333297 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cdd,40343,2006,3.1,POINT (9378667.099333297 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cde,40343,2007,3.55,POINT (9378667.099333297 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cdf,40343,2008,2.87,POINT (9378667.099333297 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ce0,40343,2009,3.38,POINT (9378667.099333297 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ce1,40343,2010,3.71,POINT (9378667.099333297 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ce2,40343,2011,2.65,POINT (9378667.099333297 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ce3,40343,2012,2.58,POINT (9378667.099333297 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ce4,40344,2001,3.16,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ce5,40344,2002,2.92,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ce6,40344,2003,3.01,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ce7,40344,2004,3.32,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ce8,40344,2005,2.78,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ce9,40344,2006,3.2,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cea,40344,2007,3.68,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ceb,40344,2008,2.96,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cec,40344,2009,3.56,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6ced,40344,2010,3.85,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cee,40344,2011,2.78,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cef,40344,2012,2.73,POINT (9434326.844729934 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cf0,40345,2001,2.71,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cf1,40345,2002,2.41,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cf2,40345,2003,2.5,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cf3,40345,2004,2.75,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cf4,40345,2005,2.25,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cf5,40345,2006,2.66,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cf6,40345,2007,3.17,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cf7,40345,2008,2.36,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cf8,40345,2009,3.09,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cf9,40345,2010,3.32,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cfa,40345,2011,2.26,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cfb,40345,2012,2.17,POINT (9489986.590126572 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cfc,40346,2001,3.75,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cfd,40346,2002,3.45,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cfe,40346,2003,3.53,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6cff,40346,2004,3.75,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d00,40346,2005,3.24,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d01,40346,2006,3.69,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d02,40346,2007,4.2,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d03,40346,2008,3.36,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d04,40346,2009,4.17,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d05,40346,2010,4.4,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d06,40346,2011,3.3,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d07,40346,2012,3.16,POINT (9545646.335523209 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d08,40347,2001,5.3,POINT (9601306.080919845 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d09,40347,2002,4.97,POINT (9601306.080919845 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d0a,40347,2003,5.07,POINT (9601306.080919845 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d0b,40347,2004,5.2,POINT (9601306.080919845 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d0c,40347,2005,4.74,POINT (9601306.080919845 3535725.659799159)
temp_max_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6d0d,40347,2006,5.16,POINT (9601306.080919845 3535725.659799159)
