FID,id_punto,agno,anomalia_temp_min_anual,geom
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6719,40348,2006,1.39,POINT (9656965.826316481 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_671a,40348,2007,1.04,POINT (9656965.826316481 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_671b,40348,2008,0.93,POINT (9656965.826316481 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_671c,40348,2009,0.83,POINT (9656965.826316481 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_671d,40348,2010,1.11,POINT (9656965.826316481 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_671e,40348,2011,0.73,POINT (9656965.826316481 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_671f,40348,2012,0.47,POINT (9656965.826316481 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6720,40349,2001,1.39,POINT (9712625.57171312 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6721,40349,2002,1.25,POINT (9712625.57171312 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6722,40349,2003,0.98,POINT (9712625.57171312 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6723,40349,2004,1.44,POINT (9712625.57171312 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6724,40349,2005,1.38,POINT (9712625.57171312 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6725,40349,2006,1.36,POINT (9712625.57171312 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6726,40349,2007,1,POINT (9712625.57171312 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6727,40349,2008,0.84,POINT (9712625.57171312 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6728,40349,2009,0.79,POINT (9712625.57171312 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_6729,40349,2010,1.06,POINT (9712625.57171312 3535725.659799159)
anomalias_temp_min_anual_espacial_p.fid--5ff12b53_17a374f8fe9_672a,40349,2011,0.67,POINT (9712625.57171312 3535725.659799159)
