Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
24.584352, 2060-2079, mri_cgcm3, Apr Average, Nepal, NPL
29.350964, 2060-2079, mri_cgcm3, May Average, Nepal, NPL
33.374474, 2060-2079, mri_cgcm3, Jun Average, Nepal, NPL
30.789381, 2060-2079, mri_cgcm3, Jul Average, Nepal, NPL
27.044897, 2060-2079, mri_cgcm3, Aug Average, Nepal, NPL
24.834965, 2060-2079, mri_cgcm3, Sep Average, Nepal, NPL
20.57777, 2060-2079, mri_cgcm3, Oct Average, Nepal, NPL
15.017416, 2060-2079, mri_cgcm3, Nov Average, Nepal, NPL
10.250879, 2060-2079, mri_cgcm3, Dec Average, Nepal, NPL
7.670429, 2060-2079, noresm1_m, Jan Average, Nepal, NPL
9.275158, 2060-2079, noresm1_m, Feb Average, Nepal, NPL
13.360988, 2060-2079, noresm1_m, Mar Average, Nepal, NPL
18.962969, 2060-2079, noresm1_m, Apr Average, Nepal, NPL
24.35206, 2060-2079, noresm1_m, May Average, Nepal, NPL
26.288925, 2060-2079, noresm1_m, Jun Average, Nepal, NPL
22.396727, 2060-2079, noresm1_m, Jul Average, Nepal, NPL
21.415285, 2060-2079, noresm1_m, Aug Average, Nepal, NPL
20.7484, 2060-2079, noresm1_m, Sep Average, Nepal, NPL
16.933914, 2060-2079, noresm1_m, Oct Average, Nepal, NPL
12.021565, 2060-2079, noresm1_m, Nov Average, Nepal, NPL
8.642904, 2060-2079, noresm1_m, Dec Average, Nepal, NPL
0.5623312, 2060-2079, Ensemble (10th Percentile), Jan Average, Nepal, NPL
0.53543925, 2060-2079, Ensemble (10th Percentile), Feb Average, Nepal, NPL
0.4974936, 2060-2079, Ensemble (10th Percentile), Mar Average, Nepal, NPL
0.28608838, 2060-2079, Ensemble (10th Percentile), Apr Average, Nepal, NPL
0.17583792, 2060-2079, Ensemble (10th Percentile), May Average, Nepal, NPL
0.48806593, 2060-2079, Ensemble (10th Percentile), Jun Average, Nepal, NPL
0.4460236, 2060-2079, Ensemble (10th Percentile), Jul Average, Nepal, NPL
0.26952106, 2060-2079, Ensemble (10th Percentile), Aug Average, Nepal, NPL
0.4628487, 2060-2079, Ensemble (10th Percentile), Sep Average, Nepal, NPL
0.5285933, 2060-2079, Ensemble (10th Percentile), Oct Average, Nepal, NPL
0.48962152, 2060-2079, Ensemble (10th Percentile), Nov Average, Nepal, NPL
0.12972203, 2060-2079, Ensemble (10th Percentile), Dec Average, Nepal, NPL
1.5894433, 2060-2079, Ensemble (50th Percentile), Jan Average, Nepal, NPL
1.3493246, 2060-2079, Ensemble (50th Percentile), Feb Average, Nepal, NPL
1.4992177, 2060-2079, Ensemble (50th Percentile), Mar Average, Nepal, NPL
1.6292667, 2060-2079, Ensemble (50th Percentile), Apr Average, Nepal, NPL
1.4030799, 2060-2079, Ensemble (50th Percentile), May Average, Nepal, NPL
1.303696, 2060-2079, Ensemble (50th Percentile), Jun Average, Nepal, NPL
1.062347, 2060-2079, Ensemble (50th Percentile), Jul Average, Nepal, NPL
0.9407999, 2060-2079, Ensemble (50th Percentile), Aug Average, Nepal, NPL
1.0453538, 2060-2079, Ensemble (50th Percentile), Sep Average, Nepal, NPL
1.151181, 2060-2079, Ensemble (50th Percentile), Oct Average, Nepal, NPL
1.3659315, 2060-2079, Ensemble (50th Percentile), Nov Average, Nepal, NPL
1.352189, 2060-2079, Ensemble (50th Percentile), Dec Average, Nepal, NPL
3.2930753, 2060-2079, Ensemble (90th Percentile), Jan Average, Nepal, NPL
2.765813, 2060-2079, Ensemble (90th Percentile), Feb Average, Nepal, NPL
2.1054833, 2060-2079, Ensemble (90th Percentile), Mar Average, Nepal, NPL
2.366054, 2060-2079, Ensemble (90th Percentile), Apr Average, Nepal, NPL
2.721681, 2060-2079, Ensemble (90th Percentile), May Average, Nepal, NPL
2.5210643, 2060-2079, Ensemble (90th Percentile), Jun Average, Nepal, NPL
2.2136226, 2060-2079, Ensemble (90th Percentile), Jul Average, Nepal, NPL
1.8373816, 2060-2079, Ensemble (90th Percentile), Aug Average, Nepal, NPL
2.012988, 2060-2079, Ensemble (90th Percentile), Sep Average, Nepal, NPL
1.9986737, 2060-2079, Ensemble (90th Percentile), Oct Average, Nepal, NPL
2.2719522, 2060-2079, Ensemble (90th Percentile), Nov Average, Nepal, NPL
2.5908427, 2060-2079, Ensemble (90th Percentile), Dec Average, Nepal, NPL
