 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1951     3.7     4.0     4.3     4.8     7.7    11.5    13.9    13.6    12.1     9.6     6.1     4.5     5.6    13.0     9.3     4.8     8.0
 1952     4.6     5.2     4.5     6.3     9.0    11.3    13.3    12.8    12.5     8.7     5.5     4.4     6.6    12.5     8.9     4.5     8.2
 1953     3.8     5.3     6.3     6.0     9.1    12.4    12.7    12.8    11.8     8.1     5.2     5.2     7.1    12.7     8.4     4.6     8.2
 1954     3.6     5.1     4.6     6.6     9.7    12.2    13.4    13.5    12.0     7.5     5.1     4.2     6.9    13.0     8.2     4.0     8.1
 1955     4.0     3.9     4.7     4.7     7.5    11.8    12.8    12.9    12.0     7.9     5.2     4.3     5.6    12.5     8.4     4.0     7.6
 1956     4.0     3.9     4.4     5.7     8.7    10.6    12.7    12.9    11.9     8.1     5.2     4.8     6.2    12.1     8.4     4.4     7.7
 1957     4.4     3.9     3.8     4.8     7.5    11.0    13.9    13.7    11.5     7.9     5.2     4.9     5.4    12.9     8.2     4.9     7.7
 1958     5.1     4.6     4.8     6.6     9.0    13.1    14.5    13.4    12.6     8.9     5.6     5.2     6.8    13.6     9.0     4.6     8.6
 1959     4.5     4.0     4.4     5.8     8.3    12.4    14.1    14.1    13.0     9.7     5.7     4.8     6.2    13.5     9.5     4.7     8.4
 1960     3.9     5.4     4.5     5.8     9.0    13.2    13.7    14.2    12.9     8.4     5.0     4.4     6.4    13.7     8.8     4.2     8.4
 1961     4.4     3.8     4.4     5.3     8.1    10.9    14.2    13.6    12.9     8.2     5.2     3.7     5.9    12.9     8.8     3.8     7.9
 1962     3.4     4.3     3.9     5.3     8.1    12.6    14.8    13.4    12.0     7.7     5.1     4.5     5.8    13.6     8.3     4.2     7.9
 1963     3.5     4.5     4.5     5.5     7.6    11.3    14.1    13.3    11.5     8.7     6.4     4.5     5.8    12.9     8.9     4.1     8.0
 1964     3.7     4.3     4.9     6.0     7.2    11.9    12.5    13.3    11.8     8.4     5.1     4.3     6.0    12.6     8.4     4.2     7.8
