Minimum of Daily Min-Temperature - (Celsius), Year, Model, Statistics, ISO3
2.04543, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
0.7079, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
1.30722, 2080-2099, gfdl_esm2g, May Anomaly, NPL
1.1147, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
1.55248, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
0.67577, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
0.94875, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
1.1724, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
1.52946, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
1.45943, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
1.64505, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
1.3169, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
1.44866, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
0.765, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
1.6545, 2080-2099, gfdl_esm2m, May Anomaly, NPL
0.68602, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
0.89743, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
0.85273, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
1.74182, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
1.25973, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
1.68234, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
0.84237, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
2.74732, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
3.74681, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
4.11158, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
2.96886, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
2.91385, 2080-2099, hadgem2_ao, May Anomaly, NPL
2.14853, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
2.37619, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
2.35172, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
3.55875, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
2.23144, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
2.877, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
3.30026, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
3.29651, 2080-2099, hadgem2_cc, Jan Anomaly, NPL
3.17516, 2080-2099, hadgem2_cc, Feb Anomaly, NPL
3.16593, 2080-2099, hadgem2_cc, Mar Anomaly, NPL
2.2863, 2080-2099, hadgem2_cc, Apr Anomaly, NPL
2.44853, 2080-2099, hadgem2_cc, May Anomaly, NPL
3.08028, 2080-2099, hadgem2_cc, Jun Anomaly, NPL
2.15767, 2080-2099, hadgem2_cc, Jul Anomaly, NPL
2.22549, 2080-2099, hadgem2_cc, Aug Anomaly, NPL
2.89406, 2080-2099, hadgem2_cc, Sep Anomaly, NPL
2.44789, 2080-2099, hadgem2_cc, Oct Anomaly, NPL
1.991, 2080-2099, hadgem2_cc, Nov Anomaly, NPL
2.96883, 2080-2099, hadgem2_cc, Dec Anomaly, NPL
1.55607, 2080-2099, inmcm4, Jan Anomaly, NPL
2.52181, 2080-2099, inmcm4, Feb Anomaly, NPL
2.0172, 2080-2099, inmcm4, Mar Anomaly, NPL
3.24481, 2080-2099, inmcm4, Apr Anomaly, NPL
1.95959, 2080-2099, inmcm4, May Anomaly, NPL
3.41557, 2080-2099, inmcm4, Jun Anomaly, NPL
2.54553, 2080-2099, inmcm4, Jul Anomaly, NPL
2.00519, 2080-2099, inmcm4, Aug Anomaly, NPL
1.25931, 2080-2099, inmcm4, Sep Anomaly, NPL
2.6919, 2080-2099, inmcm4, Oct Anomaly, NPL
