Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-83.5, 2080-2099, hadgem2_es, Jun Anomaly, NPL
-83.336, 2080-2099, hadgem2_es, Jul Anomaly, NPL
-81.506, 2080-2099, hadgem2_es, Aug Anomaly, NPL
-97.922, 2080-2099, hadgem2_es, Sep Anomaly, NPL
-141.67, 2080-2099, hadgem2_es, Oct Anomaly, NPL
-195.92, 2080-2099, hadgem2_es, Nov Anomaly, NPL
-236.81, 2080-2099, hadgem2_es, Dec Anomaly, NPL
-207.41, 2080-2099, inmcm4, Jan Anomaly, NPL
-205.2, 2080-2099, inmcm4, Feb Anomaly, NPL
-197.21, 2080-2099, inmcm4, Mar Anomaly, NPL
-136.39, 2080-2099, inmcm4, Apr Anomaly, NPL
-86.991, 2080-2099, inmcm4, May Anomaly, NPL
-89.675, 2080-2099, inmcm4, Jun Anomaly, NPL
-47.837, 2080-2099, inmcm4, Jul Anomaly, NPL
-43.199, 2080-2099, inmcm4, Aug Anomaly, NPL
-56.796, 2080-2099, inmcm4, Sep Anomaly, NPL
-81.827, 2080-2099, inmcm4, Oct Anomaly, NPL
-144.47, 2080-2099, inmcm4, Nov Anomaly, NPL
-192.0, 2080-2099, inmcm4, Dec Anomaly, NPL
-313.16, 2080-2099, ipsl_cm5a_lr, Jan Anomaly, NPL
-300.66, 2080-2099, ipsl_cm5a_lr, Feb Anomaly, NPL
-316.05, 2080-2099, ipsl_cm5a_lr, Mar Anomaly, NPL
-218.9, 2080-2099, ipsl_cm5a_lr, Apr Anomaly, NPL
-179.22, 2080-2099, ipsl_cm5a_lr, May Anomaly, NPL
-121.21, 2080-2099, ipsl_cm5a_lr, Jun Anomaly, NPL
-100.12, 2080-2099, ipsl_cm5a_lr, Jul Anomaly, NPL
-89.747, 2080-2099, ipsl_cm5a_lr, Aug Anomaly, NPL
-102.67, 2080-2099, ipsl_cm5a_lr, Sep Anomaly, NPL
-176.68, 2080-2099, ipsl_cm5a_lr, Oct Anomaly, NPL
-288.94, 2080-2099, ipsl_cm5a_lr, Nov Anomaly, NPL
