Monthly Min-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
23.0037, 2080-2099, miroc5, Jun Average, Nepal, NPL
21.971958, 2080-2099, miroc5, Jul Average, Nepal, NPL
21.404955, 2080-2099, miroc5, Aug Average, Nepal, NPL
20.45159, 2080-2099, miroc5, Sep Average, Nepal, NPL
18.120308, 2080-2099, miroc5, Oct Average, Nepal, NPL
13.393119, 2080-2099, miroc5, Nov Average, Nepal, NPL
9.424453, 2080-2099, miroc5, Dec Average, Nepal, NPL
5.742644, 2080-2099, mri_cgcm3, Jan Average, Nepal, NPL
8.484196, 2080-2099, mri_cgcm3, Feb Average, Nepal, NPL
13.643373, 2080-2099, mri_cgcm3, Mar Average, Nepal, NPL
18.865524, 2080-2099, mri_cgcm3, Apr Average, Nepal, NPL
23.740938, 2080-2099, mri_cgcm3, May Average, Nepal, NPL
27.012306, 2080-2099, mri_cgcm3, Jun Average, Nepal, NPL
26.229765, 2080-2099, mri_cgcm3, Jul Average, Nepal, NPL
24.245462, 2080-2099, mri_cgcm3, Aug Average, Nepal, NPL
20.99405, 2080-2099, mri_cgcm3, Sep Average, Nepal, NPL
16.64393, 2080-2099, mri_cgcm3, Oct Average, Nepal, NPL
11.374059, 2080-2099, mri_cgcm3, Nov Average, Nepal, NPL
6.7306266, 2080-2099, mri_cgcm3, Dec Average, Nepal, NPL
4.1731462, 2080-2099, noresm1_m, Jan Average, Nepal, NPL
4.7178335, 2080-2099, noresm1_m, Feb Average, Nepal, NPL
8.243228, 2080-2099, noresm1_m, Mar Average, Nepal, NPL
13.929174, 2080-2099, noresm1_m, Apr Average, Nepal, NPL
18.054335, 2080-2099, noresm1_m, May Average, Nepal, NPL
21.391056, 2080-2099, noresm1_m, Jun Average, Nepal, NPL
20.831768, 2080-2099, noresm1_m, Jul Average, Nepal, NPL
20.450628, 2080-2099, noresm1_m, Aug Average, Nepal, NPL
19.038889, 2080-2099, noresm1_m, Sep Average, Nepal, NPL
13.955038, 2080-2099, noresm1_m, Oct Average, Nepal, NPL
9.204324, 2080-2099, noresm1_m, Nov Average, Nepal, NPL
5.694706, 2080-2099, noresm1_m, Dec Average, Nepal, NPL
2.0475848, 2080-2099, Ensemble (10th Percentile), Jan Average, Nepal, NPL
1.4103936, 2080-2099, Ensemble (10th Percentile), Feb Average, Nepal, NPL
1.9675564, 2080-2099, Ensemble (10th Percentile), Mar Average, Nepal, NPL
2.120765, 2080-2099, Ensemble (10th Percentile), Apr Average, Nepal, NPL
1.7864858, 2080-2099, Ensemble (10th Percentile), May Average, Nepal, NPL
1.4732984, 2080-2099, Ensemble (10th Percentile), Jun Average, Nepal, NPL
1.5819057, 2080-2099, Ensemble (10th Percentile), Jul Average, Nepal, NPL
1.3251401, 2080-2099, Ensemble (10th Percentile), Aug Average, Nepal, NPL
1.6613725, 2080-2099, Ensemble (10th Percentile), Sep Average, Nepal, NPL
1.8935857, 2080-2099, Ensemble (10th Percentile), Oct Average, Nepal, NPL
1.9948698, 2080-2099, Ensemble (10th Percentile), Nov Average, Nepal, NPL
1.5985935, 2080-2099, Ensemble (10th Percentile), Dec Average, Nepal, NPL
3.1048582, 2080-2099, Ensemble (50th Percentile), Jan Average, Nepal, NPL
3.0430236, 2080-2099, Ensemble (50th Percentile), Feb Average, Nepal, NPL
3.01789, 2080-2099, Ensemble (50th Percentile), Mar Average, Nepal, NPL
3.1741297, 2080-2099, Ensemble (50th Percentile), Apr Average, Nepal, NPL
2.9532351, 2080-2099, Ensemble (50th Percentile), May Average, Nepal, NPL
2.5699632, 2080-2099, Ensemble (50th Percentile), Jun Average, Nepal, NPL
2.2499824, 2080-2099, Ensemble (50th Percentile), Jul Average, Nepal, NPL
2.2266836, 2080-2099, Ensemble (50th Percentile), Aug Average, Nepal, NPL
2.5987282, 2080-2099, Ensemble (50th Percentile), Sep Average, Nepal, NPL
2.9110515, 2080-2099, Ensemble (50th Percentile), Oct Average, Nepal, NPL
2.825204, 2080-2099, Ensemble (50th Percentile), Nov Average, Nepal, NPL
2.9366171, 2080-2099, Ensemble (50th Percentile), Dec Average, Nepal, NPL
5.724844, 2080-2099, Ensemble (90th Percentile), Jan Average, Nepal, NPL
5.0502405, 2080-2099, Ensemble (90th Percentile), Feb Average, Nepal, NPL
4.81345, 2080-2099, Ensemble (90th Percentile), Mar Average, Nepal, NPL
4.6353483, 2080-2099, Ensemble (90th Percentile), Apr Average, Nepal, NPL
4.437077, 2080-2099, Ensemble (90th Percentile), May Average, Nepal, NPL
4.394118, 2080-2099, Ensemble (90th Percentile), Jun Average, Nepal, NPL
3.6152177, 2080-2099, Ensemble (90th Percentile), Jul Average, Nepal, NPL
3.695893, 2080-2099, Ensemble (90th Percentile), Aug Average, Nepal, NPL
3.9588456, 2080-2099, Ensemble (90th Percentile), Sep Average, Nepal, NPL
4.6004047, 2080-2099, Ensemble (90th Percentile), Oct Average, Nepal, NPL
4.5548944, 2080-2099, Ensemble (90th Percentile), Nov Average, Nepal, NPL
4.7794538, 2080-2099, Ensemble (90th Percentile), Dec Average, Nepal, NPL
