Number of Summer Days (Tmax > 25°C) - (Days), Year, Model, Statistics, ISO3
5.20282, 2060-2079, Ensemble (90th Percentile), Jul Anomaly, NPL
5.31372, 2060-2079, Ensemble (90th Percentile), Aug Anomaly, NPL
5.0468, 2060-2079, Ensemble (90th Percentile), Sep Anomaly, NPL
5.75953, 2060-2079, Ensemble (90th Percentile), Oct Anomaly, NPL
6.40091, 2060-2079, Ensemble (90th Percentile), Nov Anomaly, NPL
3.48021, 2060-2079, Ensemble (90th Percentile), Dec Anomaly, NPL
32.3674, 2060-2079, access1_0, Annual Anomaly, NPL
23.0105, 2060-2079, access1_3, Annual Anomaly, NPL
22.1429, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
15.6639, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
30.2126, 2060-2079, bnu_esm, Annual Anomaly, NPL
31.4136, 2060-2079, canesm2, Annual Anomaly, NPL
31.214, 2060-2079, ccsm4, Annual Anomaly, NPL
27.2548, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
40.5429, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
21.1948, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
22.694, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
45.4996, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
26.412, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
26.8183, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
31.7604, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
31.0317, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
12.6134, 2060-2079, inmcm4, Annual Anomaly, NPL
33.4712, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
34.7707, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
14.2042, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
28.8843, 2060-2079, miroc5, Annual Anomaly, NPL
28.8928, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
29.9902, 2060-2079, miroc_esm, Annual Anomaly, NPL
27.8305, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
24.9006, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
20.8731, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
24.4502, 2060-2079, noresm1_m, Annual Anomaly, NPL
9.73616, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
26.8948, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
45.5583, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
