Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
1.51376, 2020-2039, hadgem2_cc, Aug Anomaly, NPL
3.74002, 2020-2039, hadgem2_cc, Sep Anomaly, NPL
1.08387, 2020-2039, hadgem2_cc, Oct Anomaly, NPL
0.03616, 2020-2039, hadgem2_cc, Nov Anomaly, NPL
1.7E-4, 2020-2039, hadgem2_cc, Dec Anomaly, NPL
0.23138, 2020-2039, hadgem2_es, Mar Anomaly, NPL
1.42953, 2020-2039, hadgem2_es, Apr Anomaly, NPL
1.6038, 2020-2039, hadgem2_es, May Anomaly, NPL
1.32959, 2020-2039, hadgem2_es, Jun Anomaly, NPL
1.15402, 2020-2039, hadgem2_es, Jul Anomaly, NPL
0.97292, 2020-2039, hadgem2_es, Aug Anomaly, NPL
3.65406, 2020-2039, hadgem2_es, Sep Anomaly, NPL
1.25011, 2020-2039, hadgem2_es, Oct Anomaly, NPL
0.01982, 2020-2039, hadgem2_es, Nov Anomaly, NPL
0.12472, 2020-2039, inmcm4, Jan Anomaly, NPL
0.04768, 2020-2039, inmcm4, Feb Anomaly, NPL
0.05672, 2020-2039, inmcm4, Mar Anomaly, NPL
0.42691, 2020-2039, inmcm4, Apr Anomaly, NPL
0.68736, 2020-2039, inmcm4, May Anomaly, NPL
0.80036, 2020-2039, inmcm4, Jun Anomaly, NPL
0.53952, 2020-2039, inmcm4, Jul Anomaly, NPL
0.69872, 2020-2039, inmcm4, Aug Anomaly, NPL
0.27608, 2020-2039, inmcm4, Sep Anomaly, NPL
0.34163, 2020-2039, inmcm4, Oct Anomaly, NPL
0.79903, 2020-2039, inmcm4, Nov Anomaly, NPL
-0.0311, 2020-2039, inmcm4, Dec Anomaly, NPL
5.3E-4, 2020-2039, ipsl_cm5a_lr, Feb Anomaly, NPL
0.02738, 2020-2039, ipsl_cm5a_lr, Mar Anomaly, NPL
0.37776, 2020-2039, ipsl_cm5a_lr, Apr Anomaly, NPL
1.40353, 2020-2039, ipsl_cm5a_lr, May Anomaly, NPL
2.20023, 2020-2039, ipsl_cm5a_lr, Jun Anomaly, NPL
2.1595, 2020-2039, ipsl_cm5a_lr, Jul Anomaly, NPL
2.02846, 2020-2039, ipsl_cm5a_lr, Aug Anomaly, NPL
3.16667, 2020-2039, ipsl_cm5a_lr, Sep Anomaly, NPL
1.18264, 2020-2039, ipsl_cm5a_lr, Oct Anomaly, NPL
0.2428, 2020-2039, ipsl_cm5a_lr, Nov Anomaly, NPL
0.00129, 2020-2039, ipsl_cm5a_lr, Dec Anomaly, NPL
0.04366, 2020-2039, ipsl_cm5a_mr, Mar Anomaly, NPL
1.16542, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, NPL
1.99643, 2020-2039, ipsl_cm5a_mr, May Anomaly, NPL
2.23125, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, NPL
4.09027, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, NPL
4.01355, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, NPL
3.72771, 2020-2039, ipsl_cm5a_mr, Sep Anomaly, NPL
1.3928, 2020-2039, ipsl_cm5a_mr, Oct Anomaly, NPL
0.15952, 2020-2039, ipsl_cm5a_mr, Nov Anomaly, NPL
0.17564, 2020-2039, ipsl_cm5b_lr, Mar Anomaly, NPL
0.63663, 2020-2039, ipsl_cm5b_lr, Apr Anomaly, NPL
1.33746, 2020-2039, ipsl_cm5b_lr, May Anomaly, NPL
2.99083, 2020-2039, ipsl_cm5b_lr, Jun Anomaly, NPL
1.46292, 2020-2039, ipsl_cm5b_lr, Jul Anomaly, NPL
1.55005, 2020-2039, ipsl_cm5b_lr, Aug Anomaly, NPL
2.86389, 2020-2039, ipsl_cm5b_lr, Sep Anomaly, NPL
0.95996, 2020-2039, ipsl_cm5b_lr, Oct Anomaly, NPL
0.07138, 2020-2039, ipsl_cm5b_lr, Nov Anomaly, NPL
0.11357, 2020-2039, miroc5, Mar Anomaly, NPL
1.13645, 2020-2039, miroc5, Apr Anomaly, NPL
2.87874, 2020-2039, miroc5, May Anomaly, NPL
2.88051, 2020-2039, miroc5, Jun Anomaly, NPL
2.1272, 2020-2039, miroc5, Jul Anomaly, NPL
3.17464, 2020-2039, miroc5, Aug Anomaly, NPL
1.53558, 2020-2039, miroc5, Sep Anomaly, NPL
1.25426, 2020-2039, miroc5, Oct Anomaly, NPL
0.0407, 2020-2039, miroc5, Nov Anomaly, NPL
0.00508, 2020-2039, miroc_esm_chem, Feb Anomaly, NPL
0.10847, 2020-2039, miroc_esm_chem, Mar Anomaly, NPL
1.45568, 2020-2039, miroc_esm_chem, Apr Anomaly, NPL
3.32913, 2020-2039, miroc_esm_chem, May Anomaly, NPL
2.75238, 2020-2039, miroc_esm_chem, Jun Anomaly, NPL
0.94795, 2020-2039, miroc_esm_chem, Jul Anomaly, NPL
1.03826, 2020-2039, miroc_esm_chem, Aug Anomaly, NPL
3.19272, 2020-2039, miroc_esm_chem, Sep Anomaly, NPL
2.02056, 2020-2039, miroc_esm_chem, Oct Anomaly, NPL
0.38352, 2020-2039, miroc_esm_chem, Nov Anomaly, NPL
0.03761, 2020-2039, miroc_esm_chem, Dec Anomaly, NPL
2.4E-4, 2020-2039, miroc_esm, Jan Anomaly, NPL
2.4E-4, 2020-2039, miroc_esm, Feb Anomaly, NPL
0.10618, 2020-2039, miroc_esm, Mar Anomaly, NPL
0.94747, 2020-2039, miroc_esm, Apr Anomaly, NPL
2.4269, 2020-2039, miroc_esm, May Anomaly, NPL
2.83258, 2020-2039, miroc_esm, Jun Anomaly, NPL
1.22852, 2020-2039, miroc_esm, Jul Anomaly, NPL
1.44984, 2020-2039, miroc_esm, Aug Anomaly, NPL
3.3531, 2020-2039, miroc_esm, Sep Anomaly, NPL
1.6431, 2020-2039, miroc_esm, Oct Anomaly, NPL
0.35264, 2020-2039, miroc_esm, Nov Anomaly, NPL
0.01575, 2020-2039, miroc_esm, Dec Anomaly, NPL
0.20214, 2020-2039, mpi_esm_lr, Mar Anomaly, NPL
1.61489, 2020-2039, mpi_esm_lr, Apr Anomaly, NPL
2.35885, 2020-2039, mpi_esm_lr, May Anomaly, NPL
1.08258, 2020-2039, mpi_esm_lr, Jun Anomaly, NPL
1.70342, 2020-2039, mpi_esm_lr, Jul Anomaly, NPL
2.24388, 2020-2039, mpi_esm_lr, Aug Anomaly, NPL
3.65735, 2020-2039, mpi_esm_lr, Sep Anomaly, NPL
0.69107, 2020-2039, mpi_esm_lr, Oct Anomaly, NPL
-0.0063, 2020-2039, mpi_esm_lr, Nov Anomaly, NPL
2.4E-4, 2020-2039, mpi_esm_mr, Feb Anomaly, NPL
0.06745, 2020-2039, mpi_esm_mr, Mar Anomaly, NPL
0.69338, 2020-2039, mpi_esm_mr, Apr Anomaly, NPL
1.77851, 2020-2039, mpi_esm_mr, May Anomaly, NPL
