Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
10.5081, 2040-2059, ipsl_cm5a_lr, Jun Anomaly, NPL
12.4826, 2040-2059, ipsl_cm5a_lr, Jul Anomaly, NPL
4.06107, 2040-2059, ipsl_cm5a_lr, Aug Anomaly, NPL
3.81812, 2040-2059, ipsl_cm5a_lr, Sep Anomaly, NPL
5.4482, 2040-2059, ipsl_cm5a_lr, Oct Anomaly, NPL
11.3151, 2040-2059, ipsl_cm5a_lr, Nov Anomaly, NPL
12.0562, 2040-2059, ipsl_cm5a_lr, Dec Anomaly, NPL
4.3614, 2040-2059, ipsl_cm5a_mr, Jan Anomaly, NPL
4.8178, 2040-2059, ipsl_cm5a_mr, Feb Anomaly, NPL
3.31575, 2040-2059, ipsl_cm5a_mr, Mar Anomaly, NPL
7.8496, 2040-2059, ipsl_cm5a_mr, Apr Anomaly, NPL
5.34769, 2040-2059, ipsl_cm5a_mr, May Anomaly, NPL
4.73266, 2040-2059, ipsl_cm5a_mr, Jun Anomaly, NPL
6.73937, 2040-2059, ipsl_cm5a_mr, Jul Anomaly, NPL
3.52453, 2040-2059, ipsl_cm5a_mr, Aug Anomaly, NPL
4.83896, 2040-2059, ipsl_cm5a_mr, Sep Anomaly, NPL
11.0922, 2040-2059, ipsl_cm5a_mr, Oct Anomaly, NPL
9.02185, 2040-2059, ipsl_cm5a_mr, Nov Anomaly, NPL
5.70525, 2040-2059, ipsl_cm5a_mr, Dec Anomaly, NPL
0.42808, 2040-2059, ipsl_cm5b_lr, Jan Anomaly, NPL
0.67467, 2040-2059, ipsl_cm5b_lr, Feb Anomaly, NPL
0.31745, 2040-2059, ipsl_cm5b_lr, Mar Anomaly, NPL
1.82841, 2040-2059, ipsl_cm5b_lr, Apr Anomaly, NPL
3.47767, 2040-2059, ipsl_cm5b_lr, May Anomaly, NPL
3.94474, 2040-2059, ipsl_cm5b_lr, Jun Anomaly, NPL
8.28529, 2040-2059, ipsl_cm5b_lr, Jul Anomaly, NPL
4.76557, 2040-2059, ipsl_cm5b_lr, Aug Anomaly, NPL
5.36868, 2040-2059, ipsl_cm5b_lr, Sep Anomaly, NPL
6.57153, 2040-2059, ipsl_cm5b_lr, Oct Anomaly, NPL
2.59972, 2040-2059, ipsl_cm5b_lr, Nov Anomaly, NPL
1.47049, 2040-2059, ipsl_cm5b_lr, Dec Anomaly, NPL
1.7917, 2040-2059, mpi_esm_lr, Jan Anomaly, NPL
4.67305, 2040-2059, mpi_esm_lr, Feb Anomaly, NPL
4.24056, 2040-2059, mpi_esm_lr, Mar Anomaly, NPL
7.97281, 2040-2059, mpi_esm_lr, Apr Anomaly, NPL
4.61343, 2040-2059, mpi_esm_lr, May Anomaly, NPL
4.37529, 2040-2059, mpi_esm_lr, Jun Anomaly, NPL
3.30128, 2040-2059, mpi_esm_lr, Jul Anomaly, NPL
2.37713, 2040-2059, mpi_esm_lr, Aug Anomaly, NPL
4.47767, 2040-2059, mpi_esm_lr, Sep Anomaly, NPL
6.95103, 2040-2059, mpi_esm_lr, Oct Anomaly, NPL
4.86797, 2040-2059, mpi_esm_lr, Nov Anomaly, NPL
4.44368, 2040-2059, mpi_esm_lr, Dec Anomaly, NPL
3.57041, 2040-2059, mpi_esm_mr, Jan Anomaly, NPL
0.99432, 2040-2059, mpi_esm_mr, Feb Anomaly, NPL
1.8572, 2040-2059, mpi_esm_mr, Mar Anomaly, NPL
4.47393, 2040-2059, mpi_esm_mr, Apr Anomaly, NPL
5.25663, 2040-2059, mpi_esm_mr, May Anomaly, NPL
5.72016, 2040-2059, mpi_esm_mr, Jun Anomaly, NPL
3.16645, 2040-2059, mpi_esm_mr, Jul Anomaly, NPL
3.19326, 2040-2059, mpi_esm_mr, Aug Anomaly, NPL
2.95877, 2040-2059, mpi_esm_mr, Sep Anomaly, NPL
5.74438, 2040-2059, mpi_esm_mr, Oct Anomaly, NPL
5.00664, 2040-2059, mpi_esm_mr, Nov Anomaly, NPL
4.76201, 2040-2059, mpi_esm_mr, Dec Anomaly, NPL
2.855, 2040-2059, noresm1_m, Jan Anomaly, NPL
3.38987, 2040-2059, noresm1_m, Feb Anomaly, NPL
4.18422, 2040-2059, noresm1_m, Mar Anomaly, NPL
7.9415, 2040-2059, noresm1_m, Apr Anomaly, NPL
4.1862, 2040-2059, noresm1_m, May Anomaly, NPL
2.46499, 2040-2059, noresm1_m, Jun Anomaly, NPL
0.58268, 2040-2059, noresm1_m, Jul Anomaly, NPL
0.26847, 2040-2059, noresm1_m, Aug Anomaly, NPL
1.20725, 2040-2059, noresm1_m, Sep Anomaly, NPL
4.03446, 2040-2059, noresm1_m, Oct Anomaly, NPL
3.8747, 2040-2059, noresm1_m, Nov Anomaly, NPL
3.30827, 2040-2059, noresm1_m, Dec Anomaly, NPL
0.98898, 2040-2059, Ensemble (10th Percentile), Jan Anomaly, NPL
0.22393, 2040-2059, Ensemble (10th Percentile), Feb Anomaly, NPL
0.66311, 2040-2059, Ensemble (10th Percentile), Mar Anomaly, NPL
1.03616, 2040-2059, Ensemble (10th Percentile), Apr Anomaly, NPL
0.92337, 2040-2059, Ensemble (10th Percentile), May Anomaly, NPL
1.45836, 2040-2059, Ensemble (10th Percentile), Jun Anomaly, NPL
0.09677, 2040-2059, Ensemble (10th Percentile), Jul Anomaly, NPL
0.26724, 2040-2059, Ensemble (10th Percentile), Aug Anomaly, NPL
0.66386, 2040-2059, Ensemble (10th Percentile), Sep Anomaly, NPL
1.49509, 2040-2059, Ensemble (10th Percentile), Oct Anomaly, NPL
1.67033, 2040-2059, Ensemble (10th Percentile), Nov Anomaly, NPL
0.96532, 2040-2059, Ensemble (10th Percentile), Dec Anomaly, NPL
