Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
3.35651, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
3.38594, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
4.27129, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
4.57915, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
0.09852, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
0.28923, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
0.03997, 2020-2039, inmcm4, Annual Anomaly, NPL
2.58215, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
2.28439, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
2.31356, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
1.51798, 2020-2039, miroc5, Annual Anomaly, NPL
3.54276, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
1.76432, 2020-2039, miroc_esm, Annual Anomaly, NPL
2.36421, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
0.50302, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
1.82746, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
2.45225, 2020-2039, noresm1_m, Annual Anomaly, NPL
-1.7834, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
2.12114, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
8.91044, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
