Cooling Degree Days - (Celsius), Year, Model, Statistics, ISO3
0.21779, 2080-2099, Ensemble (10th Percentile), Jan Anomaly, NPL
2.20482, 2080-2099, Ensemble (10th Percentile), Feb Anomaly, NPL
23.2975, 2080-2099, Ensemble (10th Percentile), Mar Anomaly, NPL
59.0716, 2080-2099, Ensemble (10th Percentile), Apr Anomaly, NPL
30.5332, 2080-2099, Ensemble (10th Percentile), May Anomaly, NPL
32.2663, 2080-2099, Ensemble (10th Percentile), Jun Anomaly, NPL
25.01, 2080-2099, Ensemble (10th Percentile), Jul Anomaly, NPL
16.3324, 2080-2099, Ensemble (10th Percentile), Aug Anomaly, NPL
30.4307, 2080-2099, Ensemble (10th Percentile), Sep Anomaly, NPL
29.356, 2080-2099, Ensemble (10th Percentile), Oct Anomaly, NPL
4.60245, 2080-2099, Ensemble (10th Percentile), Nov Anomaly, NPL
0.80727, 2080-2099, Ensemble (10th Percentile), Dec Anomaly, NPL
4.09498, 2080-2099, Ensemble (50th Percentile), Jan Anomaly, NPL
12.8504, 2080-2099, Ensemble (50th Percentile), Feb Anomaly, NPL
49.6997, 2080-2099, Ensemble (50th Percentile), Mar Anomaly, NPL
90.158, 2080-2099, Ensemble (50th Percentile), Apr Anomaly, NPL
109.381, 2080-2099, Ensemble (50th Percentile), May Anomaly, NPL
91.4349, 2080-2099, Ensemble (50th Percentile), Jun Anomaly, NPL
72.8078, 2080-2099, Ensemble (50th Percentile), Jul Anomaly, NPL
83.3805, 2080-2099, Ensemble (50th Percentile), Aug Anomaly, NPL
92.7024, 2080-2099, Ensemble (50th Percentile), Sep Anomaly, NPL
81.2906, 2080-2099, Ensemble (50th Percentile), Oct Anomaly, NPL
33.901, 2080-2099, Ensemble (50th Percentile), Nov Anomaly, NPL
6.20029, 2080-2099, Ensemble (50th Percentile), Dec Anomaly, NPL
10.6541, 2080-2099, Ensemble (90th Percentile), Jan Anomaly, NPL
18.8921, 2080-2099, Ensemble (90th Percentile), Feb Anomaly, NPL
87.9092, 2080-2099, Ensemble (90th Percentile), Mar Anomaly, NPL
158.242, 2080-2099, Ensemble (90th Percentile), Apr Anomaly, NPL
174.737, 2080-2099, Ensemble (90th Percentile), May Anomaly, NPL
192.401, 2080-2099, Ensemble (90th Percentile), Jun Anomaly, NPL
185.65, 2080-2099, Ensemble (90th Percentile), Jul Anomaly, NPL
161.491, 2080-2099, Ensemble (90th Percentile), Aug Anomaly, NPL
148.514, 2080-2099, Ensemble (90th Percentile), Sep Anomaly, NPL
136.253, 2080-2099, Ensemble (90th Percentile), Oct Anomaly, NPL
64.6296, 2080-2099, Ensemble (90th Percentile), Nov Anomaly, NPL
17.4919, 2080-2099, Ensemble (90th Percentile), Dec Anomaly, NPL
665.918, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
636.899, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
851.143, 2080-2099, ccsm4, Annual Anomaly, NPL
1066.56, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
855.701, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
1178.42, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
585.882, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
707.904, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
871.987, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
849.082, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
595.443, 2080-2099, miroc5, Annual Anomaly, NPL
886.182, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
800.628, 2080-2099, miroc_esm, Annual Anomaly, NPL
539.007, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
673.99, 2080-2099, noresm1_m, Annual Anomaly, NPL
475.875, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
718.559, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
