Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
2.294812, 2080-2099, mri_cgcm3, Jan Anomaly, Nepal, NPL
1.9366132, 2080-2099, mri_cgcm3, Feb Anomaly, Nepal, NPL
2.6016102, 2080-2099, mri_cgcm3, Mar Anomaly, Nepal, NPL
2.8617873, 2080-2099, mri_cgcm3, Apr Anomaly, Nepal, NPL
1.6974188, 2080-2099, mri_cgcm3, May Anomaly, Nepal, NPL
1.7113447, 2080-2099, mri_cgcm3, Jun Anomaly, Nepal, NPL
1.618645, 2080-2099, mri_cgcm3, Jul Anomaly, Nepal, NPL
2.457159, 2080-2099, mri_cgcm3, Aug Anomaly, Nepal, NPL
0.98274356, 2080-2099, mri_cgcm3, Sep Anomaly, Nepal, NPL
1.5221242, 2080-2099, mri_cgcm3, Oct Anomaly, Nepal, NPL
2.3145773, 2080-2099, mri_cgcm3, Nov Anomaly, Nepal, NPL
2.695335, 2080-2099, mri_cgcm3, Dec Anomaly, Nepal, NPL
2.2913215, 2080-2099, noresm1_m, Jan Anomaly, Nepal, NPL
1.7382613, 2080-2099, noresm1_m, Feb Anomaly, Nepal, NPL
2.5078638, 2080-2099, noresm1_m, Mar Anomaly, Nepal, NPL
2.9500835, 2080-2099, noresm1_m, Apr Anomaly, Nepal, NPL
1.8855381, 2080-2099, noresm1_m, May Anomaly, Nepal, NPL
1.1350917, 2080-2099, noresm1_m, Jun Anomaly, Nepal, NPL
1.2785997, 2080-2099, noresm1_m, Jul Anomaly, Nepal, NPL
1.9084896, 2080-2099, noresm1_m, Aug Anomaly, Nepal, NPL
1.7984142, 2080-2099, noresm1_m, Sep Anomaly, Nepal, NPL
1.8600203, 2080-2099, noresm1_m, Oct Anomaly, Nepal, NPL
2.4449, 2080-2099, noresm1_m, Nov Anomaly, Nepal, NPL
1.8951539, 2080-2099, noresm1_m, Dec Anomaly, Nepal, NPL
1.9807601, 2080-2099, Ensemble (10th Percentile), Jan Anomaly, Nepal, NPL
1.7071383, 2080-2099, Ensemble (10th Percentile), Feb Anomaly, Nepal, NPL
2.1629882, 2080-2099, Ensemble (10th Percentile), Mar Anomaly, Nepal, NPL
1.7368395, 2080-2099, Ensemble (10th Percentile), Apr Anomaly, Nepal, NPL
1.4073354, 2080-2099, Ensemble (10th Percentile), May Anomaly, Nepal, NPL
0.93402785, 2080-2099, Ensemble (10th Percentile), Jun Anomaly, Nepal, NPL
0.5760605, 2080-2099, Ensemble (10th Percentile), Jul Anomaly, Nepal, NPL
0.950132, 2080-2099, Ensemble (10th Percentile), Aug Anomaly, Nepal, NPL
1.0064877, 2080-2099, Ensemble (10th Percentile), Sep Anomaly, Nepal, NPL
1.3229997, 2080-2099, Ensemble (10th Percentile), Oct Anomaly, Nepal, NPL
1.4860698, 2080-2099, Ensemble (10th Percentile), Nov Anomaly, Nepal, NPL
1.8040626, 2080-2099, Ensemble (10th Percentile), Dec Anomaly, Nepal, NPL
2.9190125, 2080-2099, Ensemble (50th Percentile), Jan Anomaly, Nepal, NPL
2.9451065, 2080-2099, Ensemble (50th Percentile), Feb Anomaly, Nepal, NPL
3.0148208, 2080-2099, Ensemble (50th Percentile), Mar Anomaly, Nepal, NPL
3.1888044, 2080-2099, Ensemble (50th Percentile), Apr Anomaly, Nepal, NPL
2.8580463, 2080-2099, Ensemble (50th Percentile), May Anomaly, Nepal, NPL
2.5520976, 2080-2099, Ensemble (50th Percentile), Jun Anomaly, Nepal, NPL
2.239489, 2080-2099, Ensemble (50th Percentile), Jul Anomaly, Nepal, NPL
2.1396983, 2080-2099, Ensemble (50th Percentile), Aug Anomaly, Nepal, NPL
2.282898, 2080-2099, Ensemble (50th Percentile), Sep Anomaly, Nepal, NPL
2.4675832, 2080-2099, Ensemble (50th Percentile), Oct Anomaly, Nepal, NPL
2.5038133, 2080-2099, Ensemble (50th Percentile), Nov Anomaly, Nepal, NPL
2.691483, 2080-2099, Ensemble (50th Percentile), Dec Anomaly, Nepal, NPL
4.498637, 2080-2099, Ensemble (90th Percentile), Jan Anomaly, Nepal, NPL
4.442414, 2080-2099, Ensemble (90th Percentile), Feb Anomaly, Nepal, NPL
4.038877, 2080-2099, Ensemble (90th Percentile), Mar Anomaly, Nepal, NPL
4.6340585, 2080-2099, Ensemble (90th Percentile), Apr Anomaly, Nepal, NPL
4.303668, 2080-2099, Ensemble (90th Percentile), May Anomaly, Nepal, NPL
4.282569, 2080-2099, Ensemble (90th Percentile), Jun Anomaly, Nepal, NPL
3.4645417, 2080-2099, Ensemble (90th Percentile), Jul Anomaly, Nepal, NPL
3.5860496, 2080-2099, Ensemble (90th Percentile), Aug Anomaly, Nepal, NPL
3.3500948, 2080-2099, Ensemble (90th Percentile), Sep Anomaly, Nepal, NPL
3.6112533, 2080-2099, Ensemble (90th Percentile), Oct Anomaly, Nepal, NPL
3.658243, 2080-2099, Ensemble (90th Percentile), Nov Anomaly, Nepal, NPL
4.214771, 2080-2099, Ensemble (90th Percentile), Dec Anomaly, Nepal, NPL
