Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
10.3111, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
13.8903, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
-2.7046, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
-0.7271, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
3.79315, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
3.02118, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
-3.0679, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
-0.6097, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
1.90236, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
7.95207, 2060-2079, hadgem2_ao, May Anomaly, NPL
14.4934, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
15.6584, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
9.69253, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
8.22433, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
-0.4167, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
-5.4268, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
-1.723, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
1.19626, 2060-2079, hadgem2_cc, Jan Anomaly, NPL
0.6252, 2060-2079, hadgem2_cc, Feb Anomaly, NPL
1.06609, 2060-2079, hadgem2_cc, Mar Anomaly, NPL
-2.4177, 2060-2079, hadgem2_cc, Apr Anomaly, NPL
7.35868, 2060-2079, hadgem2_cc, May Anomaly, NPL
8.85333, 2060-2079, hadgem2_cc, Jun Anomaly, NPL
14.3321, 2060-2079, hadgem2_cc, Jul Anomaly, NPL
5.50691, 2060-2079, hadgem2_cc, Aug Anomaly, NPL
6.01872, 2060-2079, hadgem2_cc, Sep Anomaly, NPL
-0.8166, 2060-2079, hadgem2_cc, Oct Anomaly, NPL
-5.3224, 2060-2079, hadgem2_cc, Nov Anomaly, NPL
-1.6202, 2060-2079, hadgem2_cc, Dec Anomaly, NPL
1.62413, 2060-2079, hadgem2_es, Jan Anomaly, NPL
-1.7794, 2060-2079, hadgem2_es, Feb Anomaly, NPL
-0.457, 2060-2079, hadgem2_es, Mar Anomaly, NPL
-1.5531, 2060-2079, hadgem2_es, Apr Anomaly, NPL
1.67833, 2060-2079, hadgem2_es, May Anomaly, NPL
9.62674, 2060-2079, hadgem2_es, Jun Anomaly, NPL
8.01102, 2060-2079, hadgem2_es, Jul Anomaly, NPL
8.98248, 2060-2079, hadgem2_es, Aug Anomaly, NPL
5.67406, 2060-2079, hadgem2_es, Sep Anomaly, NPL
3.73851, 2060-2079, hadgem2_es, Oct Anomaly, NPL
-1.2492, 2060-2079, hadgem2_es, Nov Anomaly, NPL
0.78321, 2060-2079, hadgem2_es, Dec Anomaly, NPL
1.36568, 2060-2079, inmcm4, Jan Anomaly, NPL
-1.1532, 2060-2079, inmcm4, Feb Anomaly, NPL
-0.338, 2060-2079, inmcm4, Mar Anomaly, NPL
1.79838, 2060-2079, inmcm4, Apr Anomaly, NPL
2.99757, 2060-2079, inmcm4, May Anomaly, NPL
4.13832, 2060-2079, inmcm4, Jun Anomaly, NPL
2.84456, 2060-2079, inmcm4, Jul Anomaly, NPL
1.47148, 2060-2079, inmcm4, Aug Anomaly, NPL
0.97558, 2060-2079, inmcm4, Sep Anomaly, NPL
1.16466, 2060-2079, inmcm4, Oct Anomaly, NPL
-6.4379, 2060-2079, inmcm4, Nov Anomaly, NPL
1.29057, 2060-2079, inmcm4, Dec Anomaly, NPL
-3.9991, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
-5.4353, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
-2.4606, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
-6.9675, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
0.79341, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
4.10772, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
10.4468, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
10.7722, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
10.6266, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
3.95163, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
-1.3181, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
-5.5021, 2060-2079, ipsl_cm5a_lr, Dec Anomaly, NPL
0.41135, 2060-2079, ipsl_cm5a_mr, Jan Anomaly, NPL
-3.5062, 2060-2079, ipsl_cm5a_mr, Feb Anomaly, NPL
-6.0529, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
-4.4024, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
3.65957, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
14.4843, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
7.01624, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
15.9877, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
15.2154, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
3.37918, 2060-2079, ipsl_cm5a_mr, Oct Anomaly, NPL
-7.06, 2060-2079, ipsl_cm5a_mr, Nov Anomaly, NPL
-0.9909, 2060-2079, ipsl_cm5a_mr, Dec Anomaly, NPL
7.80647, 2060-2079, ipsl_cm5b_lr, Jan Anomaly, NPL
-6.7778, 2060-2079, ipsl_cm5b_lr, Feb Anomaly, NPL
-1.5435, 2060-2079, ipsl_cm5b_lr, Mar Anomaly, NPL
-0.9031, 2060-2079, ipsl_cm5b_lr, Apr Anomaly, NPL
1.1978, 2060-2079, ipsl_cm5b_lr, May Anomaly, NPL
3.04072, 2060-2079, ipsl_cm5b_lr, Jun Anomaly, NPL
0.36314, 2060-2079, ipsl_cm5b_lr, Jul Anomaly, NPL
2.26592, 2060-2079, ipsl_cm5b_lr, Aug Anomaly, NPL
14.1095, 2060-2079, ipsl_cm5b_lr, Sep Anomaly, NPL
2.8914, 2060-2079, ipsl_cm5b_lr, Oct Anomaly, NPL
-10.144, 2060-2079, ipsl_cm5b_lr, Nov Anomaly, NPL
1.27973, 2060-2079, ipsl_cm5b_lr, Dec Anomaly, NPL
-2.0611, 2060-2079, miroc5, Jan Anomaly, NPL
0.92873, 2060-2079, miroc5, Feb Anomaly, NPL
0.76568, 2060-2079, miroc5, Mar Anomaly, NPL
6.58569, 2060-2079, miroc5, Apr Anomaly, NPL
8.09942, 2060-2079, miroc5, May Anomaly, NPL
15.254, 2060-2079, miroc5, Jun Anomaly, NPL
15.1034, 2060-2079, miroc5, Jul Anomaly, NPL
10.061, 2060-2079, miroc5, Aug Anomaly, NPL
5.96843, 2060-2079, miroc5, Sep Anomaly, NPL
5.00407, 2060-2079, miroc5, Oct Anomaly, NPL
2.41728, 2060-2079, miroc5, Nov Anomaly, NPL
2.66385, 2060-2079, miroc5, Dec Anomaly, NPL
-5.066, 2060-2079, miroc_esm_chem, Jan Anomaly, NPL
-6.6925, 2060-2079, miroc_esm_chem, Feb Anomaly, NPL
-2.9809, 2060-2079, miroc_esm_chem, Mar Anomaly, NPL
-2.5883, 2060-2079, miroc_esm_chem, Apr Anomaly, NPL
0.67825, 2060-2079, miroc_esm_chem, May Anomaly, NPL
9.51284, 2060-2079, miroc_esm_chem, Jun Anomaly, NPL
8.72588, 2060-2079, miroc_esm_chem, Jul Anomaly, NPL
15.0519, 2060-2079, miroc_esm_chem, Aug Anomaly, NPL
3.37344, 2060-2079, miroc_esm_chem, Sep Anomaly, NPL
-0.0922, 2060-2079, miroc_esm_chem, Oct Anomaly, NPL
