Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
20.583385, 2020-2039, ipsl_cm5a_mr, Nov Average, Nepal, NPL
19.965288, 2020-2039, ipsl_cm5a_mr, Dec Average, Nepal, NPL
28.433737, 2020-2039, miroc_esm, Jan Average, Nepal, NPL
30.818966, 2020-2039, miroc_esm, Feb Average, Nepal, NPL
39.193268, 2020-2039, miroc_esm, Mar Average, Nepal, NPL
55.326385, 2020-2039, miroc_esm, Apr Average, Nepal, NPL
111.34774, 2020-2039, miroc_esm, May Average, Nepal, NPL
291.43683, 2020-2039, miroc_esm, Jun Average, Nepal, NPL
319.3071, 2020-2039, miroc_esm, Jul Average, Nepal, NPL
280.52396, 2020-2039, miroc_esm, Aug Average, Nepal, NPL
200.26462, 2020-2039, miroc_esm, Sep Average, Nepal, NPL
143.47206, 2020-2039, miroc_esm, Oct Average, Nepal, NPL
85.492455, 2020-2039, miroc_esm, Nov Average, Nepal, NPL
49.795753, 2020-2039, miroc_esm, Dec Average, Nepal, NPL
38.159714, 2020-2039, miroc_esm_chem, Jan Average, Nepal, NPL
51.71685, 2020-2039, miroc_esm_chem, Feb Average, Nepal, NPL
32.347492, 2020-2039, miroc_esm_chem, Mar Average, Nepal, NPL
49.29867, 2020-2039, miroc_esm_chem, Apr Average, Nepal, NPL
117.71445, 2020-2039, miroc_esm_chem, May Average, Nepal, NPL
275.7895, 2020-2039, miroc_esm_chem, Jun Average, Nepal, NPL
348.50665, 2020-2039, miroc_esm_chem, Jul Average, Nepal, NPL
267.2076, 2020-2039, miroc_esm_chem, Aug Average, Nepal, NPL
203.6788, 2020-2039, miroc_esm_chem, Sep Average, Nepal, NPL
138.49915, 2020-2039, miroc_esm_chem, Oct Average, Nepal, NPL
86.919304, 2020-2039, miroc_esm_chem, Nov Average, Nepal, NPL
27.355757, 2020-2039, miroc_esm_chem, Dec Average, Nepal, NPL
28.743774, 2020-2039, miroc5, Jan Average, Nepal, NPL
25.021593, 2020-2039, miroc5, Feb Average, Nepal, NPL
32.496845, 2020-2039, miroc5, Mar Average, Nepal, NPL
52.06522, 2020-2039, miroc5, Apr Average, Nepal, NPL
132.19844, 2020-2039, miroc5, May Average, Nepal, NPL
409.82446, 2020-2039, miroc5, Jun Average, Nepal, NPL
701.0763, 2020-2039, miroc5, Jul Average, Nepal, NPL
505.3058, 2020-2039, miroc5, Aug Average, Nepal, NPL
354.21198, 2020-2039, miroc5, Sep Average, Nepal, NPL
135.209, 2020-2039, miroc5, Oct Average, Nepal, NPL
15.029576, 2020-2039, miroc5, Nov Average, Nepal, NPL
19.26593, 2020-2039, miroc5, Dec Average, Nepal, NPL
26.19179, 2020-2039, mri_cgcm3, Jan Average, Nepal, NPL
17.169321, 2020-2039, mri_cgcm3, Feb Average, Nepal, NPL
23.440403, 2020-2039, mri_cgcm3, Mar Average, Nepal, NPL
17.65623, 2020-2039, mri_cgcm3, Apr Average, Nepal, NPL
8.514945, 2020-2039, mri_cgcm3, May Average, Nepal, NPL
13.211858, 2020-2039, mri_cgcm3, Jun Average, Nepal, NPL
103.020706, 2020-2039, mri_cgcm3, Jul Average, Nepal, NPL
136.08578, 2020-2039, mri_cgcm3, Aug Average, Nepal, NPL
74.34605, 2020-2039, mri_cgcm3, Sep Average, Nepal, NPL
29.510332, 2020-2039, mri_cgcm3, Oct Average, Nepal, NPL
38.337353, 2020-2039, mri_cgcm3, Nov Average, Nepal, NPL
54.349693, 2020-2039, mri_cgcm3, Dec Average, Nepal, NPL
61.970203, 2020-2039, noresm1_m, Jan Average, Nepal, NPL
58.105473, 2020-2039, noresm1_m, Feb Average, Nepal, NPL
30.877417, 2020-2039, noresm1_m, Mar Average, Nepal, NPL
15.910404, 2020-2039, noresm1_m, Apr Average, Nepal, NPL
12.564211, 2020-2039, noresm1_m, May Average, Nepal, NPL
219.34177, 2020-2039, noresm1_m, Jun Average, Nepal, NPL
747.9252, 2020-2039, noresm1_m, Jul Average, Nepal, NPL
681.1447, 2020-2039, noresm1_m, Aug Average, Nepal, NPL
377.46698, 2020-2039, noresm1_m, Sep Average, Nepal, NPL
76.08974, 2020-2039, noresm1_m, Oct Average, Nepal, NPL
40.80116, 2020-2039, noresm1_m, Nov Average, Nepal, NPL
68.08436, 2020-2039, noresm1_m, Dec Average, Nepal, NPL
-12.595883, 2020-2039, Ensemble (10th Percentile), Jan Average, Nepal, NPL
-13.875952, 2020-2039, Ensemble (10th Percentile), Feb Average, Nepal, NPL
-12.233522, 2020-2039, Ensemble (10th Percentile), Mar Average, Nepal, NPL
-7.641488, 2020-2039, Ensemble (10th Percentile), Apr Average, Nepal, NPL
-16.510923, 2020-2039, Ensemble (10th Percentile), May Average, Nepal, NPL
-29.152475, 2020-2039, Ensemble (10th Percentile), Jun Average, Nepal, NPL
-60.104298, 2020-2039, Ensemble (10th Percentile), Jul Average, Nepal, NPL
-33.94371, 2020-2039, Ensemble (10th Percentile), Aug Average, Nepal, NPL
-17.066639, 2020-2039, Ensemble (10th Percentile), Sep Average, Nepal, NPL
-17.871895, 2020-2039, Ensemble (10th Percentile), Oct Average, Nepal, NPL
-28.317919, 2020-2039, Ensemble (10th Percentile), Nov Average, Nepal, NPL
-32.397156, 2020-2039, Ensemble (10th Percentile), Dec Average, Nepal, NPL
-0.21811405, 2020-2039, Ensemble (50th Percentile), Jan Average, Nepal, NPL
-0.21514975, 2020-2039, Ensemble (50th Percentile), Feb Average, Nepal, NPL
-2.010202, 2020-2039, Ensemble (50th Percentile), Mar Average, Nepal, NPL
-0.023232799, 2020-2039, Ensemble (50th Percentile), Apr Average, Nepal, NPL
0.2997394, 2020-2039, Ensemble (50th Percentile), May Average, Nepal, NPL
7.0168056, 2020-2039, Ensemble (50th Percentile), Jun Average, Nepal, NPL
11.165613, 2020-2039, Ensemble (50th Percentile), Jul Average, Nepal, NPL
0.6263977, 2020-2039, Ensemble (50th Percentile), Aug Average, Nepal, NPL
8.3957, 2020-2039, Ensemble (50th Percentile), Sep Average, Nepal, NPL
2.5139055, 2020-2039, Ensemble (50th Percentile), Oct Average, Nepal, NPL
-3.3097095, 2020-2039, Ensemble (50th Percentile), Nov Average, Nepal, NPL
-2.539857, 2020-2039, Ensemble (50th Percentile), Dec Average, Nepal, NPL
27.879885, 2020-2039, Ensemble (90th Percentile), Jan Average, Nepal, NPL
15.473368, 2020-2039, Ensemble (90th Percentile), Feb Average, Nepal, NPL
6.5318117, 2020-2039, Ensemble (90th Percentile), Mar Average, Nepal, NPL
16.954443, 2020-2039, Ensemble (90th Percentile), Apr Average, Nepal, NPL
8.916931, 2020-2039, Ensemble (90th Percentile), May Average, Nepal, NPL
52.4588, 2020-2039, Ensemble (90th Percentile), Jun Average, Nepal, NPL
106.53669, 2020-2039, Ensemble (90th Percentile), Jul Average, Nepal, NPL
61.590675, 2020-2039, Ensemble (90th Percentile), Aug Average, Nepal, NPL
44.301147, 2020-2039, Ensemble (90th Percentile), Sep Average, Nepal, NPL
31.587925, 2020-2039, Ensemble (90th Percentile), Oct Average, Nepal, NPL
11.1414795, 2020-2039, Ensemble (90th Percentile), Nov Average, Nepal, NPL
17.24325, 2020-2039, Ensemble (90th Percentile), Dec Average, Nepal, NPL
