Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
61.5354, 2040-2059, Ensemble (90th Percentile), May Anomaly, NPL
123.546, 2040-2059, Ensemble (90th Percentile), Jun Anomaly, NPL
195.139, 2040-2059, Ensemble (90th Percentile), Jul Anomaly, NPL
156.56, 2040-2059, Ensemble (90th Percentile), Aug Anomaly, NPL
118.679, 2040-2059, Ensemble (90th Percentile), Sep Anomaly, NPL
60.1663, 2040-2059, Ensemble (90th Percentile), Oct Anomaly, NPL
37.2985, 2040-2059, Ensemble (90th Percentile), Nov Anomaly, NPL
29.3173, 2040-2059, Ensemble (90th Percentile), Dec Anomaly, NPL
10.5893, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
27.2118, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
37.8478, 2040-2059, ccsm4, Annual Anomaly, NPL
50.3006, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-6.2028, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-6.7647, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
15.5023, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
15.8544, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
23.3542, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
8.48216, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-5.3732, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
16.5738, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
48.4601, 2040-2059, miroc5, Annual Anomaly, NPL
24.5166, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
11.491, 2040-2059, miroc_esm, Annual Anomaly, NPL
11.6375, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
11.0067, 2040-2059, noresm1_m, Annual Anomaly, NPL
-66.053, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
7.98988, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
225.225, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
