Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
24.0049, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
35.7166, 2080-2099, bnu_esm, Annual Anomaly, NPL
46.3742, 2080-2099, canesm2, Annual Anomaly, NPL
50.5391, 2080-2099, ccsm4, Annual Anomaly, NPL
21.4176, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
103.629, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
1.10505, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
4.66166, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
18.4878, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
44.2294, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
15.5296, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
23.0221, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
33.3487, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
5.58837, 2080-2099, inmcm4, Annual Anomaly, NPL
14.5443, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
26.773, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
8.88247, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
57.8211, 2080-2099, miroc5, Annual Anomaly, NPL
21.8974, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
7.96976, 2080-2099, miroc_esm, Annual Anomaly, NPL
6.47139, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
21.8372, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
10.8547, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
26.0421, 2080-2099, noresm1_m, Annual Anomaly, NPL
-67.325, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
22.4043, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
211.298, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
