Cold Spell Duration Index - (Days), Year, Model, Statistics, ISO3
-0.2617, 2020-2039, noresm1_m, Dec Anomaly, NPL
-0.2367, 2020-2039, Ensemble (10th Percentile), Jan Anomaly, NPL
-0.1739, 2020-2039, Ensemble (10th Percentile), Feb Anomaly, NPL
-0.1135, 2020-2039, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.1187, 2020-2039, Ensemble (10th Percentile), Apr Anomaly, NPL
-0.1701, 2020-2039, Ensemble (10th Percentile), May Anomaly, NPL
-0.1826, 2020-2039, Ensemble (10th Percentile), Jun Anomaly, NPL
-0.1282, 2020-2039, Ensemble (10th Percentile), Jul Anomaly, NPL
-0.1053, 2020-2039, Ensemble (10th Percentile), Aug Anomaly, NPL
-0.2501, 2020-2039, Ensemble (10th Percentile), Sep Anomaly, NPL
-0.306, 2020-2039, Ensemble (10th Percentile), Oct Anomaly, NPL
-0.2013, 2020-2039, Ensemble (10th Percentile), Nov Anomaly, NPL
-0.2788, 2020-2039, Ensemble (10th Percentile), Dec Anomaly, NPL
-0.1947, 2020-2039, Ensemble (50th Percentile), Jan Anomaly, NPL
-0.1689, 2020-2039, Ensemble (50th Percentile), Feb Anomaly, NPL
-0.0849, 2020-2039, Ensemble (50th Percentile), Mar Anomaly, NPL
-0.1041, 2020-2039, Ensemble (50th Percentile), Apr Anomaly, NPL
-0.1679, 2020-2039, Ensemble (50th Percentile), May Anomaly, NPL
-0.1822, 2020-2039, Ensemble (50th Percentile), Jun Anomaly, NPL
-0.1282, 2020-2039, Ensemble (50th Percentile), Jul Anomaly, NPL
-0.1053, 2020-2039, Ensemble (50th Percentile), Aug Anomaly, NPL
-0.2501, 2020-2039, Ensemble (50th Percentile), Sep Anomaly, NPL
-0.2851, 2020-2039, Ensemble (50th Percentile), Oct Anomaly, NPL
-0.2013, 2020-2039, Ensemble (50th Percentile), Nov Anomaly, NPL
-0.2579, 2020-2039, Ensemble (50th Percentile), Dec Anomaly, NPL
0.13818, 2020-2039, Ensemble (90th Percentile), Jan Anomaly, NPL
0.10766, 2020-2039, Ensemble (90th Percentile), Feb Anomaly, NPL
0.21025, 2020-2039, Ensemble (90th Percentile), Mar Anomaly, NPL
0.19067, 2020-2039, Ensemble (90th Percentile), Apr Anomaly, NPL
0.0942, 2020-2039, Ensemble (90th Percentile), May Anomaly, NPL
0.04574, 2020-2039, Ensemble (90th Percentile), Jun Anomaly, NPL
0.12367, 2020-2039, Ensemble (90th Percentile), Jul Anomaly, NPL
0.06162, 2020-2039, Ensemble (90th Percentile), Aug Anomaly, NPL
-0.0406, 2020-2039, Ensemble (90th Percentile), Sep Anomaly, NPL
0.01009, 2020-2039, Ensemble (90th Percentile), Oct Anomaly, NPL
0.15096, 2020-2039, Ensemble (90th Percentile), Nov Anomaly, NPL
0.23106, 2020-2039, Ensemble (90th Percentile), Dec Anomaly, NPL
-3.0406, 2020-2039, access1_0, Annual Anomaly, NPL
-3.4113, 2020-2039, access1_3, Annual Anomaly, NPL
-1.2794, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
-3.8165, 2020-2039, bnu_esm, Annual Anomaly, NPL
-1.2812, 2020-2039, canesm2, Annual Anomaly, NPL
-1.6545, 2020-2039, ccsm4, Annual Anomaly, NPL
-1.9846, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-1.6713, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-3.8778, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-1.7119, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
-0.5856, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
0.38523, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
-2.8731, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
-1.7509, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
-0.3666, 2020-2039, inmcm4, Annual Anomaly, NPL
-3.4004, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
-1.9974, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-2.9418, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
-2.441, 2020-2039, miroc_esm, Annual Anomaly, NPL
-1.5263, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-1.6003, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
-2.6932, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
-1.7499, 2020-2039, noresm1_m, Annual Anomaly, NPL
-2.648, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
-2.1257, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.1441, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
