Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
2.1025, 2020-2039, mpi_esm_mr, Dec Anomaly, NPL
4.12772, 2020-2039, mri_cgcm3, Jan Anomaly, NPL
3.4293, 2020-2039, mri_cgcm3, Feb Anomaly, NPL
2.96441, 2020-2039, mri_cgcm3, Mar Anomaly, NPL
1.05189, 2020-2039, mri_cgcm3, Apr Anomaly, NPL
-0.1157, 2020-2039, mri_cgcm3, May Anomaly, NPL
2.81412, 2020-2039, mri_cgcm3, Jun Anomaly, NPL
11.3989, 2020-2039, mri_cgcm3, Jul Anomaly, NPL
3.94636, 2020-2039, mri_cgcm3, Aug Anomaly, NPL
2.80589, 2020-2039, mri_cgcm3, Sep Anomaly, NPL
-1.3302, 2020-2039, mri_cgcm3, Oct Anomaly, NPL
-3.9512, 2020-2039, mri_cgcm3, Nov Anomaly, NPL
-1.4566, 2020-2039, mri_cgcm3, Dec Anomaly, NPL
1.67958, 2020-2039, noresm1_m, Jan Anomaly, NPL
-1.1694, 2020-2039, noresm1_m, Feb Anomaly, NPL
-5.3323, 2020-2039, noresm1_m, Mar Anomaly, NPL
-0.8677, 2020-2039, noresm1_m, Apr Anomaly, NPL
3.50866, 2020-2039, noresm1_m, May Anomaly, NPL
1.65727, 2020-2039, noresm1_m, Jun Anomaly, NPL
8.98554, 2020-2039, noresm1_m, Jul Anomaly, NPL
8.42378, 2020-2039, noresm1_m, Aug Anomaly, NPL
8.18142, 2020-2039, noresm1_m, Sep Anomaly, NPL
-0.741, 2020-2039, noresm1_m, Oct Anomaly, NPL
-10.661, 2020-2039, noresm1_m, Nov Anomaly, NPL
-2.214, 2020-2039, noresm1_m, Dec Anomaly, NPL
-6.5915, 2020-2039, Ensemble (10th Percentile), Jan Anomaly, NPL
-7.2241, 2020-2039, Ensemble (10th Percentile), Feb Anomaly, NPL
-6.0632, 2020-2039, Ensemble (10th Percentile), Mar Anomaly, NPL
-5.0975, 2020-2039, Ensemble (10th Percentile), Apr Anomaly, NPL
-6.7365, 2020-2039, Ensemble (10th Percentile), May Anomaly, NPL
-18.347, 2020-2039, Ensemble (10th Percentile), Jun Anomaly, NPL
-26.726, 2020-2039, Ensemble (10th Percentile), Jul Anomaly, NPL
-21.733, 2020-2039, Ensemble (10th Percentile), Aug Anomaly, NPL
-11.534, 2020-2039, Ensemble (10th Percentile), Sep Anomaly, NPL
-13.56, 2020-2039, Ensemble (10th Percentile), Oct Anomaly, NPL
-11.947, 2020-2039, Ensemble (10th Percentile), Nov Anomaly, NPL
-7.7833, 2020-2039, Ensemble (10th Percentile), Dec Anomaly, NPL
-0.8988, 2020-2039, Ensemble (50th Percentile), Jan Anomaly, NPL
-2.6052, 2020-2039, Ensemble (50th Percentile), Feb Anomaly, NPL
-0.6149, 2020-2039, Ensemble (50th Percentile), Mar Anomaly, NPL
-0.4892, 2020-2039, Ensemble (50th Percentile), Apr Anomaly, NPL
0.55336, 2020-2039, Ensemble (50th Percentile), May Anomaly, NPL
-0.4134, 2020-2039, Ensemble (50th Percentile), Jun Anomaly, NPL
1.33759, 2020-2039, Ensemble (50th Percentile), Jul Anomaly, NPL
1.62256, 2020-2039, Ensemble (50th Percentile), Aug Anomaly, NPL
2.36938, 2020-2039, Ensemble (50th Percentile), Sep Anomaly, NPL
-0.475, 2020-2039, Ensemble (50th Percentile), Oct Anomaly, NPL
-2.7145, 2020-2039, Ensemble (50th Percentile), Nov Anomaly, NPL
-0.499, 2020-2039, Ensemble (50th Percentile), Dec Anomaly, NPL
11.6134, 2020-2039, Ensemble (90th Percentile), Jan Anomaly, NPL
8.46949, 2020-2039, Ensemble (90th Percentile), Feb Anomaly, NPL
7.34284, 2020-2039, Ensemble (90th Percentile), Mar Anomaly, NPL
6.23511, 2020-2039, Ensemble (90th Percentile), Apr Anomaly, NPL
15.1719, 2020-2039, Ensemble (90th Percentile), May Anomaly, NPL
46.583, 2020-2039, Ensemble (90th Percentile), Jun Anomaly, NPL
61.5431, 2020-2039, Ensemble (90th Percentile), Jul Anomaly, NPL
54.7131, 2020-2039, Ensemble (90th Percentile), Aug Anomaly, NPL
37.5267, 2020-2039, Ensemble (90th Percentile), Sep Anomaly, NPL
15.6982, 2020-2039, Ensemble (90th Percentile), Oct Anomaly, NPL
13.4579, 2020-2039, Ensemble (90th Percentile), Nov Anomaly, NPL
11.3698, 2020-2039, Ensemble (90th Percentile), Dec Anomaly, NPL
6.30313, 2020-2039, access1_0, Annual Anomaly, NPL
3.87329, 2020-2039, access1_3, Annual Anomaly, NPL
-4.9899, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
6.29149, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
5.2779, 2020-2039, bnu_esm, Annual Anomaly, NPL
8.18625, 2020-2039, canesm2, Annual Anomaly, NPL
8.91299, 2020-2039, ccsm4, Annual Anomaly, NPL
2.05617, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
5.24533, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-3.8405, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-2.0083, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-0.5386, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
6.50257, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
8.17314, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
2.23251, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
3.97934, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
2.12993, 2020-2039, inmcm4, Annual Anomaly, NPL
-4.8018, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
6.46952, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-4.7657, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
